sitetracker__Job_Number__c,Name,sitetracker__Job_Status__c,sitetracker__Job_Type__c,sitetracker__Category__c,Site_Name__c,sitetracker__Project__r.Name,sitetracker__Vendor__r.Name,sitetracker__Scheduled_Start__c,sitetracker__Actual_End__c,sitetracker__st_Job_Completion_Date__c
JOB-04401,Aerial strand placement - RVT-018 Maple & 4th,Completed,Construction,Wireline,RVT-018 Maple & 4th,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-03,2026-03-03
JOB-04402,Aerial fiber placement - RVT-018 Maple & 4th,Completed,Construction,Wireline,RVT-018 Maple & 4th,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-04,2026-03-04
JOB-04403,Fusion splice - RVT-018 Maple & 4th,Completed,Construction,Wireline,RVT-018 Maple & 4th,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-05,2026-03-05
JOB-04404,Pole make-ready - RVT-021 Grant Ave,Completed,Construction,Wireline,RVT-021 Grant Ave,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-05,2026-03-05
JOB-04405,Aerial strand placement - RVT-021 Grant Ave,Completed,Construction,Wireline,RVT-021 Grant Ave,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-06,2026-03-06
JOB-04406,Aerial fiber placement - RVT-021 Grant Ave,Completed,Construction,Wireline,RVT-021 Grant Ave,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-09,2026-03-09
JOB-04407,Splice case install - RVT-021 Grant Ave,Completed,Construction,Wireline,RVT-021 Grant Ave,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-09,2026-03-09
JOB-04408,Directional bore - RVT-024 Halsted Corr,Completed,Construction,Wireline,RVT-024 Halsted Corr,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-10,2026-03-10
JOB-04409,Underground fiber placement - RVT-024 Halsted Corr,Completed,Construction,Wireline,RVT-024 Halsted Corr,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-11,2026-03-11
JOB-04410,Handhole set - RVT-024 Halsted Corr,Completed,Construction,Wireline,RVT-024 Halsted Corr,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-11,2026-03-11
JOB-04411,Surface restoration - RVT-024 Halsted Corr,Completed,Construction,Wireline,RVT-024 Halsted Corr,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-12,2026-03-12
JOB-04413,Fusion splice - RVT-024 Halsted Corr,Completed,Construction,Wireline,RVT-024 Halsted Corr,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-13,2026-03-13
JOB-04414,Aerial strand placement - RVT-027 Bell Rd,Completed,Construction,Wireline,RVT-027 Bell Rd,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-13,2026-03-13
JOB-04415,Aerial fiber placement - RVT-027 Bell Rd,Completed,Construction,Wireline,RVT-027 Bell Rd,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-16,2026-03-16
JOB-04416,Pedestal set - RVT-027 Bell Rd,Completed,Construction,Wireline,RVT-027 Bell Rd,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-16,2026-03-16
JOB-04417,Pole make-ready - RVT-027 Bell Rd,Completed,Construction,Wireline,RVT-027 Bell Rd,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-17,2026-03-17
JOB-04418,Directional bore - RVT-030 Dunbar Ln,Completed,Construction,Wireline,RVT-030 Dunbar Ln,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-17,2026-03-17
JOB-04419,Underground fiber placement - RVT-030 Dunbar Ln,Completed,Construction,Wireline,RVT-030 Dunbar Ln,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-18,2026-03-18
JOB-04420,Handhole set - RVT-030 Dunbar Ln,Completed,Construction,Wireline,RVT-030 Dunbar Ln,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-18,2026-03-18
JOB-04421,Splice case install - RVT-030 Dunbar Ln,Completed,Construction,Wireline,RVT-030 Dunbar Ln,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-19,2026-03-19
JOB-04422,Surface restoration - RVT-030 Dunbar Ln,Completed,Construction,Wireline,RVT-030 Dunbar Ln,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-19,2026-03-19
JOB-04423,Aerial strand placement - RVT-033 Cypress,Completed,Construction,Wireline,RVT-033 Cypress,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,2026-03-20,2026-03-20
JOB-04426,Aerial fiber placement - RVT-033 Cypress,In Progress,Construction,Wireline,RVT-033 Cypress,Riverton Metro FTTH - Phase 2,Corridor Line Construction LLC,2026-03-01,,
